Timestamp,what class do you main,which do you prefer,do you like environmental hazards,which do you like better,what's better,halloween spells,do you like dustbowl,what do you consider the peak 100 player experience
12/6/2023 12:35:29,spy,mid range,Yes,pushing the flank,enclosed spaces,bad,no,"Team coordination, suicide strats to cap intel/push cart"
12/6/2023 12:35:31,soldier,close quarters fighting,Yes,pushing the flank,open spaces,bad,yes,spawncamping as an ubered phlog pyro
12/6/2023 12:35:32,demo,mid range,Yes,pushing the flank,enclosed spaces,good,yes,When you finally push through a super difficult defense
12/6/2023 12:35:34,spy,long range,Yes,pushing the flank,enclosed spaces,good,yes,i have never played tf2
12/6/2023 12:35:35,sniper,mid range,Yes,fighting frontline,open spaces,bad,yes,insane chaotic stalemates 
12/6/2023 12:35:36,demo,close quarters fighting,No,fighting frontline,enclosed spaces,good,yes,degroot keep NOW
12/6/2023 12:35:38,engie,close quarters fighting,Yes,fighting frontline,enclosed spaces,bad,yes,when youre tring to push with 49 other random guys and at the last minute the capture the point
12/6/2023 12:35:38,scout,close quarters fighting,Yes,pushing the flank,enclosed spaces,good,no,trying to figure out what is even happening
12/6/2023 12:35:38,demo,mid range,Yes,pushing the flank,enclosed spaces,good,no,flank
12/6/2023 12:35:41,demo,mid range,Yes,fighting frontline,enclosed spaces,good,yes,trying to coordinate with the team like a big wa
12/6/2023 12:35:42,heavy,close quarters fighting,Yes,fighting frontline,enclosed spaces,bad,no,How every engagement feels personal 
12/6/2023 12:35:43,medic,mid range,No,pushing the flank,open spaces,good,yes,convincing both teams to do a gimmick
12/6/2023 12:35:45,medic,mid range,Yes,pushing the flank,open spaces,bad,yes,I don't like playing on a server with 100 players
12/6/2023 12:35:46,demo,mid range,Yes,pushing the flank,open spaces,bad,no,causing chaos in the flanks and pushing with my team
12/6/2023 12:35:47,soldier,close quarters fighting,Yes,pushing the flank,open spaces,bad,yes,"When ever there is a choke, and every player focuses on it. Making it chaotic."
12/6/2023 12:35:48,heavy,mid range,Yes,fighting frontline,enclosed spaces,bad,yes,All of the things mentioned are peak experiences in my book. 
12/6/2023 12:35:48,soldier,mid range,Yes,pushing the flank,open spaces,good,yes,payload race choke point
12/6/2023 12:35:48,medic,mid range,Yes,fighting frontline,enclosed spaces,bad,yes,Getting on the top of the leaderboard playing with amputator medic
12/6/2023 12:35:50,soldier,mid range,No,pushing the flank,open spaces,good,no,"Coordination, aka Planetside 2"
12/6/2023 12:35:51,demo,mid range,Yes,pushing the flank,open spaces,good,yes,degroot keep NOW
12/6/2023 12:35:51,medic,mid range,Yes,pushing the flank,open spaces,bad,no,You forgot to make it so people can only write in here once.
12/6/2023 12:35:53,spy,close quarters fighting,Yes,pushing the flank,enclosed spaces,bad,no,"The gameplay high in the trenches often refers to the intense and exhilarating moments during competitive or challenging gameplay. This could involve situations where players find themselves deeply immersed in the action, making split-second decisions, and overcoming obstacles or opponents. The term ""trenches"" might be metaphorical, indicating the thick of battle or a challenging gaming environment.

Players may chase this gameplay high for various reasons, such as the thrill of competition, the satisfaction of skillful maneuvers, the joy of teamwork, or the sense of accomplishment when achieving difficult objectives. It's often about the emotional highs that come from successfully navigating through challenging situations in a game, creating memorable and immersive experiences."
12/6/2023 12:35:58,medic,mid range,Yes,pushing the flank,enclosed spaces,good,yes,when we get to build 30 sentries on last
12/6/2023 12:35:59,pyro,mid range,Yes,fighting frontline,enclosed spaces,bad,yes,reflecting a rocket into a crowd of people
12/6/2023 12:35:59,soldier,mid range,No,fighting frontline,open spaces,bad,yes,being able to push
12/6/2023 12:36:06,pyro,mid range,Yes,pushing the flank,open spaces,bad,yes,orgy
12/6/2023 12:36:07,demo,mid range,Yes,pushing the flank,open spaces,good,yes,degroot keep NOW
12/6/2023 12:36:07,medic,close quarters fighting,No,fighting frontline,enclosed spaces,bad,yes,"The absolute chaos.
As a medic main I feel that knowing that I can and will die at any moment by 56 demos sticky spamming gives me an erection, I love a CHALLENGE!"
12/6/2023 12:36:09,medic,mid range,Yes,fighting frontline,enclosed spaces,bad,yes,"spamming rockets and grenades, lucksman in chokes, etc"
12/6/2023 12:36:11,demo,mid range,Yes,pushing the flank,enclosed spaces,bad,yes,Big plays like getting kills on the flank
12/6/2023 12:36:13,sniper,long range,Yes,fighting frontline,open spaces,bad,no,massive machina collateral kills.
12/6/2023 12:36:14,pyro,mid range,Yes,pushing the flank,enclosed spaces,bad,yes,"No matter what, 100 players will always be chaotic, and as a result I think peak 100 players is when any one member of a given team is capable of getting a substantially good collateral play(s) that they’d be unable to get on normal pubs. For example as a Pyro, getting serveral Dragon’s Fury blasts in a row and demolishing ppl "
12/6/2023 12:36:16,heavy,mid range,Yes,fighting frontline,enclosed spaces,good,no,the sheer chaos that arrives when the server is full and a new maps starts
12/6/2023 12:36:18,spy,close quarters fighting,Yes,pushing the flank,open spaces,good,yes,"Lots of smaller fights scattered around, many flanks to defend and total chaos"
12/6/2023 12:36:18,medic,mid range,Yes,fighting frontline,enclosed spaces,good,yes,properly coordinating and getting rewarded for it
12/6/2023 12:36:20,demo,close quarters fighting,Yes,fighting frontline,open spaces,bad,yes,big map
12/6/2023 12:36:23,engie,close quarters fighting,Yes,pushing the flank,enclosed spaces,bad,no,"As building as many sentries as possible and trying to fix not only yours but the five engies next to you. On the other team, I like spamming as many rockets into the cluster of sentries as possible and seeing the entire top right of my screen turn white."
12/6/2023 12:36:24,demo,mid range,Yes,pushing the flank,open spaces,good,yes,degroot keep NOW
12/6/2023 12:36:27,demo,mid range,Yes,pushing the flank,enclosed spaces,good,no,"fighting against, or being part of, a massive engi nest. coordinating with your team as you see it all fall apart. seeing comrades get torn apart by explosions and gunfire. shit's always like the first act of End of Evangelion."
12/6/2023 12:36:28,spy,close quarters fighting,Yes,fighting frontline,enclosed spaces,good,no,sd_doomsday
12/6/2023 12:36:29,soldier,mid range,Yes,fighting frontline,enclosed spaces,good,yes,"Your mom.

But otherwise bumb rushing a choke at overtime after some clutch ubers."
12/6/2023 12:36:31,scout,mid range,Yes,fighting frontline,open spaces,good,yes,My forehead on the last point :D
12/6/2023 12:36:32,engie,mid range,No,pushing the flank,enclosed spaces,bad,yes,sprays
12/6/2023 12:36:36,sniper,mid range,Yes,fighting frontline,open spaces,bad,yes,spamming huntsmap down badwater first tunnel
12/6/2023 12:36:37,pyro,close quarters fighting,No,fighting frontline,open spaces,good,no,getting a crit sticky or some shit on like 9 people 
12/6/2023 12:36:38,scout,mid range,No,pushing the flank,open spaces,good,yes,mic spam
12/6/2023 12:36:39,heavy,close quarters fighting,Yes,pushing the flank,enclosed spaces,bad,no,Getting banners
12/6/2023 12:36:39,engie,mid range,Yes,pushing the flank,enclosed spaces,bad,no,doing engie gaming on red and demo & medic gaming on blu
12/6/2023 12:36:42,soldier,mid range,Yes,pushing the flank,open spaces,bad,yes,"the long drawn out stalemates that last for many minutes on symmetrical maps, and the slow gradual push on attack/defend maps. the rush of having an entire 50 player team pour in during the pub push and try to destroy 12 sentries, having 3 dispensers to fall back to, when i crocket 3 people and it doesn't even matter (unironically), when im playing spy and my team pushes in and its time to sap everything or die trying, trying to navigate the explosive spam"
12/6/2023 12:36:45,spy,mid range,No,pushing the flank,enclosed spaces,bad,no,trenches sucks but id say probably like trying to get out of spawn when attacking lol
12/6/2023 12:36:47,demo,mid range,Yes,pushing the flank,open spaces,bad,no,fat kritz and mass demoknighting
12/6/2023 12:36:53,demo,mid range,Yes,pushing the flank,open spaces,good,yes,degroot keep NOW
12/6/2023 12:36:53,pyro,mid range,Yes,fighting frontline,open spaces,bad,no,coordinating with your team and managing to stay alive for a long time.
12/6/2023 12:36:54,engie,mid range,Yes,pushing the flank,open spaces,bad,yes,when we get to build 30 sentries on last
12/6/2023 12:36:56,engie,close quarters fighting,No,fighting frontline,open spaces,bad,no,Engie hypernest
12/6/2023 12:36:56,engie,mid range,No,fighting frontline,enclosed spaces,good,yes,idk
12/6/2023 12:36:58,medic,mid range,Yes,fighting frontline,open spaces,bad,yes,The constant combat
12/6/2023 12:36:59,medic,mid range,No,fighting frontline,open spaces,good,yes,I love defending payload barnblitz last best thing ever except when your the one pushing into the defense then I hate it
12/6/2023 12:37:00,demo,close quarters fighting,Yes,fighting frontline,open spaces,good,yes,demomen flying in the sky
12/6/2023 12:37:02,engie,mid range,Yes,fighting frontline,enclosed spaces,bad,yes,CHAOS
12/6/2023 12:37:05,soldier,close quarters fighting,No,fighting frontline,open spaces,bad,no,trying to coordinate with the team like a big war
12/6/2023 12:37:05,pyro,mid range,Yes,pushing the flank,enclosed spaces,good,no,deflecting projectile spam :3
12/6/2023 12:37:07,spy,mid range,Yes,pushing the flank,open spaces,good,yes,making my way past everyone to pull off a massive play from behind that nobody expects or is prepared for
12/6/2023 12:37:09,engie,close quarters fighting,Yes,pushing the flank,open spaces,good,no,coordinating a 10-scout bonk rush down the choke and it actually does something
12/6/2023 12:37:15,pyro,mid range,Yes,pushing the flank,open spaces,bad,no,"Two teams of 50 being able to split up, and have one hold the line, while the other flanks any chokes, but in a large, open area. Enclosed maps like Dustbowl are honestly opposite of what 50v50 is to me, and hurts the experience more than helps."
12/6/2023 12:37:18,engie,mid range,Yes,pushing the flank,open spaces,good,yes,yes
12/6/2023 12:37:19,demo,mid range,Yes,pushing the flank,enclosed spaces,good,no,flanking
12/6/2023 12:37:19,demo,mid range,Yes,pushing the flank,open spaces,good,yes,degroot keep NOW
12/6/2023 12:37:20,spy,mid range,Yes,pushing the flank,open spaces,bad,yes,Dustbowl last with 10 sentrys a dispenser wall and demo and soldier spam. I also like uncoordinated teams fighting its fun to see them struggle 
12/6/2023 12:37:20,engie,mid range,No,fighting frontline,enclosed spaces,bad,yes,a long protracted chokepoint fight
12/6/2023 12:37:26,sniper,mid range,Yes,pushing the flank,enclosed spaces,good,no,Funny murder time
12/6/2023 12:37:26,scout,close quarters fighting,No,pushing the flank,open spaces,bad,yes,chaos
12/6/2023 12:37:27,engie,mid range,Yes,pushing the flank,open spaces,bad,yes,I like slowly pushing your way up the frontline/flank.
12/6/2023 12:37:28,scout,mid range,Yes,pushing the flank,enclosed spaces,bad,yes,menaging to run thru a large group of enemies alive
12/6/2023 12:37:28,soldier,close quarters fighting,Yes,pushing the flank,enclosed spaces,bad,yes,Pushing flank with a small group of other people while the rest of the team spams the main choke. 
12/6/2023 12:37:29,demo,mid range,Yes,fighting frontline,enclosed spaces,good,yes,"as a demo main and a dustbowl enjoyer, spamming down dustbowl last gave me so much dopamine, it burnt out my dopamine receptors"
12/6/2023 12:37:29,soldier,close quarters fighting,Yes,fighting frontline,enclosed spaces,good,no,hell
12/6/2023 12:37:30,medic,mid range,Yes,fighting frontline,enclosed spaces,bad,yes,gathering a squad and completing our own objective
12/6/2023 12:37:32,demo,mid range,No,pushing the flank,open spaces,bad,no,large scale battles that ARENT just funneling a million players through one tiny hallway
12/6/2023 12:37:35,demo,mid range,Yes,pushing the flank,open spaces,good,yes,degroot keep NOW
12/6/2023 12:37:36,demo,mid range,No,pushing the flank,open spaces,bad,yes,breaking stalemates
12/6/2023 12:37:37,demo,close quarters fighting,Yes,pushing the flank,open spaces,good,yes,giant sentry nests that are soon destroyed by a swarm of spies/stickies
12/6/2023 12:37:39,spy,close quarters fighting,No,pushing the flank,open spaces,bad,yes,When everyone is yelling and attempting to work together and rally the horde like its WW2 lmao
12/6/2023 12:37:40,medic,close quarters fighting,No,pushing the flank,enclosed spaces,good,yes,The real peak experience is the friends we've made along the way
12/6/2023 12:37:40,engie,mid range,Yes,pushing the flank,open spaces,good,yes,Funny crocket go brrr
12/6/2023 12:37:41,scout,mid range,Yes,pushing the flank,open spaces,bad,no,Coordination is required to finally advance to the next point and everyone must play like it's their peak gameplay
12/6/2023 12:37:41,soldier,mid range,Yes,fighting frontline,open spaces,good,yes,a massive wave of projectile spam turning the tide of the game in seconds
12/6/2023 12:37:42,engie,mid range,Yes,fighting frontline,open spaces,bad,yes,Sentry Spam :)
12/6/2023 12:37:43,heavy,mid range,Yes,pushing the flank,open spaces,bad,yes,"running over engineers on barnblitz, idk dude my computer can't handle the 100 players"
12/6/2023 12:37:48,engie,mid range,Yes,pushing the flank,open spaces,good,yes,peak trenches was spamming down dustbowl last
12/6/2023 12:37:49,demo,mid range,Yes,pushing the flank,open spaces,good,yes,degroot keep NOW
12/6/2023 12:37:49,pyro,mid range,Yes,pushing the flank,open spaces,bad,yes,When all 50 players somehow perfectly coordinate and work together
12/6/2023 12:37:50,engie,mid range,Yes,pushing the flank,open spaces,good,no,I like making engie nests and defending against the Blu horde
12/6/2023 12:37:52,scout,mid range,No,pushing the flank,open spaces,bad,yes,explosive spam
12/6/2023 12:37:53,engie,mid range,No,pushing the flank,enclosed spaces,good,no,The memes
12/6/2023 12:37:53,medic,close quarters fighting,Yes,pushing the flank,enclosed spaces,good,no,pure chaos :3
12/6/2023 12:37:56,scout,mid range,Yes,pushing the flank,open spaces,bad,yes,i love the chaos
12/6/2023 12:37:56,pyro,close quarters fighting,Yes,pushing the flank,open spaces,bad,yes,Destroying the 50-strong sentry nest with an ubered demo
12/6/2023 12:37:57,pyro,mid range,No,fighting frontline,open spaces,bad,yes,Chaos
12/6/2023 12:38:01,heavy,close quarters fighting,No,pushing the flank,enclosed spaces,bad,yes,trying to get past those 17 sentries near the choke
12/6/2023 12:38:02,demo,mid range,Yes,pushing the flank,open spaces,bad,yes,watching the chaos unfold
12/6/2023 12:38:03,demo,mid range,Yes,pushing the flank,open spaces,good,yes,degroot keep NOW
12/6/2023 12:38:07,soldier,mid range,Yes,pushing the flank,open spaces,bad,no,idk 100 players is just fun by itself
12/6/2023 12:38:08,spy,mid range,Yes,pushing the flank,open spaces,good,yes,"Breaking chokes or creating said chokes is the best experience, so basically any map that doesn't have too many flanks. Ofc i love flanks as a spy main, but on 100 people spy is barely playable"
12/6/2023 12:38:10,pyro,close quarters fighting,Yes,pushing the flank,enclosed spaces,bad,no,pushing through a stalemate
12/6/2023 12:38:13,pyro,close quarters fighting,Yes,pushing the flank,enclosed spaces,bad,yes,HeeHeeHeeHaw
12/6/2023 12:38:16,spy,close quarters fighting,Yes,fighting frontline,enclosed spaces,good,no,when i finger
12/6/2023 12:38:16,demo,mid range,Yes,pushing the flank,open spaces,bad,yes,"Crit-sticky on, like, 15 people people at once"
12/6/2023 12:38:18,medic,mid range,Yes,pushing the flank,enclosed spaces,good,yes,Gex
12/6/2023 12:38:21,demo,close quarters fighting,Yes,fighting frontline,enclosed spaces,good,yes,Z
12/6/2023 12:38:23,engie,close quarters fighting,Yes,pushing the flank,open spaces,bad,yes,Massive teamfights
12/6/2023 12:38:24,engie,mid range,No,pushing the flank,enclosed spaces,good,yes,Chaotic
12/6/2023 12:38:26,soldier,mid range,Yes,pushing the flank,enclosed spaces,bad,yes,lots of chaos in flanking routes
12/6/2023 12:38:26,demo,mid range,Yes,pushing the flank,open spaces,bad,no,massive chaotic teamfights
12/6/2023 12:38:29,pyro,mid range,Yes,pushing the flank,open spaces,bad,yes,Pushing through a tough advance with the help of sneaky flanks disrupting the front line. :D
12/6/2023 12:38:31,pyro,close quarters fighting,Yes,fighting frontline,enclosed spaces,bad,yes,dustbowl
12/6/2023 12:38:32,soldier,close quarters fighting,Yes,pushing the flank,enclosed spaces,bad,no,insane kill streaks with black box
12/6/2023 12:38:33,engie,mid range,Yes,pushing the flank,open spaces,good,yes,"Spamming chokepoints
"
12/6/2023 12:38:36,scout,mid range,Yes,pushing the flank,open spaces,bad,yes,idk i havent played it
12/6/2023 12:38:36,pyro,close quarters fighting,Yes,pushing the flank,enclosed spaces,bad,no,i have not played on a 100 player server however i like killing people
12/6/2023 12:38:37,medic,mid range,No,fighting frontline,enclosed spaces,good,no,firing crusader's crossbow bolts downrange and seeing who i hit is funny
12/6/2023 12:38:38,engie,mid range,Yes,pushing the flank,enclosed spaces,bad,yes,idk
12/6/2023 12:38:41,soldier,close quarters fighting,No,pushing the flank,enclosed spaces,bad,yes,when people are cooperative and good at strategizing
12/6/2023 12:38:42,pyro,close quarters fighting,Yes,pushing the flank,open spaces,good,yes,Soup :)
12/6/2023 12:38:44,scout,close quarters fighting,Yes,pushing the flank,open spaces,bad,yes,Getting one trolldier kill after 2 hours of getting shot down by heavies and lvl3 sentries.
12/6/2023 12:38:44,medic,mid range,Yes,fighting frontline,enclosed spaces,good,yes,trying to coordinate with the team like a big war
12/6/2023 12:38:46,scout,close quarters fighting,No,fighting frontline,open spaces,bad,yes,when i walk in the middle and i DIE immediately and *loud explosion noises*
12/6/2023 12:38:47,scout,close quarters fighting,Yes,pushing the flank,enclosed spaces,bad,no,soldiers spamming buff banner
12/6/2023 12:38:48,demo,mid range,Yes,pushing the flank,enclosed spaces,bad,no,trying to break long stalemates on turbine and get the flag
12/6/2023 12:38:49,pyro,mid range,Yes,pushing the flank,enclosed spaces,bad,yes,pushing landfall's flag
12/6/2023 12:38:50,demo,mid range,No,pushing the flank,open spaces,bad,yes,peak chaotic
12/6/2023 12:38:50,pyro,mid range,No,fighting frontline,open spaces,bad,yes,"egi stacking
"
12/6/2023 12:38:51,engie,close quarters fighting,Yes,pushing the flank,open spaces,good,no,CHAOS!!!!!!!!!!!!!!!
12/6/2023 12:38:54,heavy,close quarters fighting,No,pushing the flank,enclosed spaces,bad,no,constant close-quarter fighting on the cart or flank routes for control of the cart
12/6/2023 12:38:55,sniper,mid range,Yes,fighting frontline,open spaces,bad,no,When we don't play junction dustbowl turbine or zi and just a normal map for fucks sake
12/6/2023 12:38:57,scout,close quarters fighting,Yes,fighting frontline,open spaces,good,yes,"Trying to make a big human meat heap, that moves like zombie wave in World War Z, so to steam roll enemy team"
12/6/2023 12:39:00,spy,mid range,No,pushing the flank,enclosed spaces,bad,no,idk
12/6/2023 12:39:00,medic,close quarters fighting,No,fighting frontline,enclosed spaces,good,yes,crit rockets flying everywhere along with like 20 soldiers rushing a corner in turbine to get the last flag to win the game
12/6/2023 12:39:00,sniper,mid range,Yes,pushing the flank,open spaces,good,yes,having 8 teleporter entrances in front of spawn and none of them work
12/6/2023 12:39:01,engie,mid range,Yes,pushing the flank,enclosed spaces,bad,no,the constant chaos
12/6/2023 12:39:03,spy,close quarters fighting,Yes,pushing the flank,open spaces,good,yes,"Lots of smaller fights scattered around, many flanks to defend. Total chaos!"
12/6/2023 12:39:04,soldier,close quarters fighting,Yes,fighting frontline,open spaces,good,no,Mic Spam
12/6/2023 12:39:04,pyro,close quarters fighting,Yes,pushing the flank,enclosed spaces,good,yes,Brain dead sentry spam
12/6/2023 12:39:04,medic,mid range,No,fighting frontline,open spaces,bad,yes,Multiple objectives
12/6/2023 12:39:05,soldier,mid range,Yes,pushing the flank,enclosed spaces,good,no,like 12v12 but upscaled and more diverse
12/6/2023 12:39:11,pyro,close quarters fighting,Yes,pushing the flank,enclosed spaces,bad,yes,I would consider the peak 100 player experience possibly to be on dustbowl getting into the the upper gated area on the first stage second point with phlog uber.
12/6/2023 12:39:13,spy,mid range,No,pushing the flank,open spaces,good,yes,Yes.
12/6/2023 12:39:17,pyro,mid range,Yes,pushing the flank,open spaces,good,no,"Not being stuck in the same places but pushing smoothly the front, while also being able to be pushed back. And of course pulling a good flank which creates the necessary momentum to give some good dopamine."
12/6/2023 12:39:19,heavy,long range,Yes,fighting frontline,open spaces,bad,yes,"The peak 100 player experience is like orchestrating a symphony of talent, strategy, and camaraderie. It's about diving into a vast world where each player brings their unique skills, creativity, and passion to the table. It's not just about mastering the game mechanics but also about the shared moments of triumph, the epic clashes, and the friendships forged in the heat of competition. The peak experience is when players are not just playing a game but living within its universe, creating unforgettable memories that transcend the pixels on the screen."
12/6/2023 12:39:19,demo,mid range,Yes,fighting frontline,enclosed spaces,bad,yes,Throwing a million projectiles down a choke to make incremental progress.
12/6/2023 12:39:20,demo,mid range,Yes,fighting frontline,enclosed spaces,good,no,"something with multiple front lines, not too chaotic. Kind of like multiple matches happening on the same map that you can pick and choose which one you want to help"
12/6/2023 12:39:20,soldier,mid range,Yes,pushing the flank,open spaces,bad,no,"Playing as spy once, missing a backstab and dying to a million sentries "
12/6/2023 12:39:21,demo,mid range,Yes,pushing the flank,open spaces,good,yes,degroot keep NOW
12/6/2023 12:39:21,medic,mid range,Yes,pushing the flank,open spaces,good,yes,Crit sticky
12/6/2023 12:39:24,pyro,close quarters fighting,Yes,pushing the flank,enclosed spaces,good,yes,The equivalency of storming the beaches of Normandy. A massive group push towards the objective as one solid unit.
12/6/2023 12:39:25,soldier,mid range,Yes,fighting frontline,open spaces,bad,yes,the spam
12/6/2023 12:39:25,soldier,mid range,Yes,fighting frontline,open spaces,good,yes,long battles for an objective
12/6/2023 12:39:25,demo,mid range,Yes,pushing the flank,enclosed spaces,bad,yes,the peak of trenches is when I step outside of spawn and see 20 teleporters and I take one that leads me straight into a sticky trap
12/6/2023 12:39:26,engie,mid range,Yes,fighting frontline,open spaces,good,no,like 50 kills happening at once at one time
12/6/2023 12:39:27,medic,mid range,Yes,fighting frontline,open spaces,good,yes,"Honestly all great, can't choose"
12/6/2023 12:39:30,engie,mid range,No,fighting frontline,open spaces,bad,yes,engie trenches vs. explosive spam
12/6/2023 12:39:31,soldier,close quarters fighting,No,fighting frontline,enclosed spaces,good,yes,Play the game lol
12/6/2023 12:39:35,heavy,mid range,No,fighting frontline,open spaces,good,yes,Hearing the chaos in vc and pushing with pyros and medics
12/6/2023 12:39:39,medic,mid range,No,fighting frontline,open spaces,good,no,uber to get past the nests (last point on badwater)
12/6/2023 12:39:41,heavy,close quarters fighting,No,fighting frontline,enclosed spaces,bad,no,have not played but i think a game with no snipers
12/6/2023 12:39:42,soldier,mid range,Yes,pushing the flank,open spaces,bad,no,Picking off people to try and edge out an advantage
12/6/2023 12:39:49,demo,mid range,No,fighting frontline,enclosed spaces,bad,no,chaos
12/6/2023 12:39:53,sniper,mid range,Yes,pushing the flank,open spaces,good,yes,choke points
12/6/2023 12:39:55,medic,mid range,Yes,pushing the flank,enclosed spaces,bad,no,You forgot to make it so people can only write in here once.
